kind	volume	status	normalized_anchor	primary_excerpt
MAIN	50	EXACT_40	礼不惟致敬之节肃穆之慎乃敢擅损牺牲不备苾芬慢易大姬不震厥教出入颠覆风淫于家娉取人	數月，驕淫不法，愆過累積，兾州刺史與國相舉奏萇罪至不道。安帝詔曰：「萇有靦其面，而放逸其心。知陵廟至重，承繼有禮，不惟致敬之節，肅穆之慎，乃敢擅損犧牲，不備苾芬。慢易大姬，不震厥敎。出入顛覆，風淫于家，娉取人妻，饋遺婢妾。敺擊吏人，專己凶暴。愆罪莫大，甚可恥也。朕覽八辟之議，不忍致之于理。其貶萇爵爲臨湖侯。朕無則哲之明
MAIN	55	MISS	大鸿胪奉策书玺绶之清河追上尊号又遣中常侍奉太牢祠典护礼仪侍中刘珍等及宗室列侯皆往会事尊陵曰甘陵庙曰昭庙置令丞设兵车周衞比章陵复以广川益清河国尊耿姬为甘陵大贵人又封女弟侍男为涅阳长公主别得为舞阴长公主乆长为濮阳长公主直得为平氏长公主余七主并早	大鴻臚奉策書璽綬之清河，追上尊號；又遣中常侍奉太牢祠，典護禮儀侍中劉珍等及宗室列侯皆往會事。尊陵曰甘陵，廟曰昭廟，置令、丞，設兵車周衞，比章陵。復以廣川益清河國。尊耿姬爲甘陵大貴人。又封女弟侍男爲涅陽長公主，別得爲舞陰長公主，乆長爲濮陽長公主，直得爲平氏長公主。餘七主並早卒，故不及進爵。追贈敬隱后女弟小貴人印綬，追封謚
MAIN	60	EXACT_25	泊焉不失所宁狂淫振荡乃乱其情贪夫殉财夸者死权瞻仰此	況其易。夫夫有逸羣之才，人人有優贍之智。童子不問疑於老成，瞳矇不稽謀於先生。心恬澹於守高，意無爲於持盈。粲乎煌煌，莫非華榮。明哲泊焉，不失所寧。狂淫振蕩，乃亂其情。貪夫殉財，夸者死權。瞻仰此事，體躁心煩。闇謙盈之効，迷損益之數。騁駑駘於脩路，慕騏驥而增驅，卑俯乎外戚之門，乞助乎近貴之譽。榮顯未副，從而顛踣，下獲熏胥之辜
MAIN	65	EXACT_80	唾则泽流黄泉施及冥寞非奂生死所能报塞夫无毛发之劳而欲求人丘山之用此淳于髡所以拍髀仰天而笑者也诚知言必见讥然犹未能无望何者朽骨无益于人而文王葬之死马无所复用而燕昭	郡縣惶懼，屏營延企，側待歸命。父母朽骨，孤魂相託，若蒙矜憐，壹惠咳唾，則澤流黃泉，施及冥寞，非奐生死所能報塞。夫無毛髮之勞，而欲求人丘山之用，此淳于髡所以拍髀仰天而笑者也。誠知言必見譏，然猶未能無望。何者？朽骨無益於人，而文王葬之；死馬無所復用，而燕昭寶之。黨同文、昭之德，豈不大哉！凡人之情，冤則呼天，窮則叩心。今呼天
MAIN	70	MISS	过免罪为幸乃使余论远闻所以慙惧也朱彭寇贾为世壮士爱恶相攻能为国忧至于轻弱薄劣犹昆虫之相囓适足还害其身诚无所至也晋侯嘉其臣所争者大而师旷以为不如心竞性既迟缓与人无伤虽出胯下之负榆次之辱不知贬毁之于己犹蚊虻之一过也子产谓人心不相似或矜埶者欲以取	過，免罪爲幸。乃使餘論遠聞，所以慙懼也。朱、彭、寇、賈，爲世壯士，愛惡相攻，能爲國憂。至於輕弱薄劣，猶昆蟲之相囓，適足還害其身，誠無所至也。晉侯嘉其臣所爭者大，而師曠以爲不如心競。性旣遲緩，與人無傷，雖出胯下之負，榆次之辱，不知貶毀之於己，猶蚊虻之一過也。子產謂人心不相似，或矜埶者，欲以取勝爲榮，不念宋人待四海之客，大
MAIN	75	EXACT_60	不吾从而从吾家奴乎又与公孙瓒书云绍非袁氏子绍闻大怒初平三年术遣孙坚击刘表于襄阳坚战死公孙瓒使刘备与术合谋共逼绍绍与曹操会	積此釁隙遂成。乃各外交黨援，以相圖謀，術結公孫瓚，而紹連劉表。豪桀多附於紹，術怒曰：「羣豎不吾從，而從吾家奴乎！」又與公孫瓚書，云紹非袁氏子，紹聞大怒。初平三年，術遣孫堅擊劉表於襄陽，堅戰死。公孫瓚使劉備與術合謀共逼紹，紹與曹操會擊，皆破之。四年，術引軍入陳留，屯封丘。黑山餘賊及匈奴於扶羅等佐術，與曹操戰於匡亭，大敗。
MAIN	80	EXACT_80	内各有司存天下云云岂独吾人之尤君何激刺之过乎琦对曰昔管仲相齐乐闻讥谏之言萧何佐汉乃设书过之吏今将军累世台辅任齐伊公而德政未闻黎元涂炭不能结纳贞良以救祸败反复欲钳	言不從，失意，復作白鵠賦以爲風。梁兾見之，呼琦問曰：「百官外內，各有司存，天下云云，豈獨吾人之尤，君何激刺之過乎？」琦對曰：「昔管仲相齊，樂聞譏諫之言；蕭何佐漢，乃設書過之吏。今將軍累世台輔，任齊伊、公，而德政未聞，黎元塗炭，不能結納貞良，以救禍敗，反復欲鉗塞士口，杜蔽主聽，將使玄黃改色，馬鹿易形乎？」兾無以對，因遣琦
MAIN	85	EXACT_60	准而自王朝鲜传国至孙右渠元朔元年濊君南闾等畔右渠率二十八万口诣辽东内属武帝以其地为苍海郡数年乃罢至元封三年灭朝鲜分置乐浪	。其後四十餘世，至朝鮮侯準，自稱王。漢初大亂，燕、齊、趙人往避地者數萬口，而燕人衞滿擊破準而自王朝鮮，傳國至孫右渠。元朔元年，濊君南閭等畔右渠，率二十八萬口詣遼東內屬，武帝以其地爲蒼海郡，數年乃罷。至元封三年，滅朝鮮，分置樂浪、臨屯、玄菟、真番四郡。至昭帝始元五年，罷臨屯、真番，以并樂浪、玄菟。玄菟復徙居句驪。自單單大
MAIN	90	EXACT_120	年辽东鲜卑攻肥如县太守祭参坐沮败下狱死十三年辽东鲜卑寇右北平因入渔阳渔阳太守击破之延平元年鲜卑复寇渔阳太守张显率数百人出塞追之兵马掾严授谏曰前道险阻贼埶难量宜且结营先令轻骑侦视之显意甚锐怒欲斩之因复进兵遇虏伏发士卒悉走唯授力战身被十创手杀数	卑由此漸盛。九年，遼東鮮卑攻肥如縣，太守祭參坐沮敗，下獄死。十三年，遼東鮮卑寇右北平，因入漁陽，漁陽太守擊破之。延平元年，鮮卑復寇漁陽，太守張顯率數百人出塞追之。兵馬掾嚴授諫曰：「前道險阻，賊埶難量，宜且結營，先令輕騎偵視之。」顯意甚銳，怒欲斬之。因復進兵，遇虜伏發，士卒悉走，唯授力戰，身被十創，手殺數人而死。顯中流矢
MAIN	91	EXACT_40	律吕之首而生十一律者也其相生也皆三分而损益之是故十二律之得十七万七千一百四十七是	生陰曰下生，陰生陽曰上生。上生不得過黃鍾之清濁，下生不得及黃鍾之數實。皆參天兩地，圓蓋方覆，六耦承竒之道也。黃鍾，律呂之首，而生十一律者也。其相生也，皆三分而損益之。是故十二律之，得十七萬七千一百四十七，是爲黃鍾之實。又以二乘而三約之，是爲下生林鍾之實。又以四乘而三約之，是爲上生太蔟之實。推此上下，以定六十律之實。以九
MAIN	95	MISS	始扬威武斩牲于郊东门以荐陵庙其仪乘舆御戎路白马朱鬣躬执弩射牲牲以鹿麛太宰令谒者各一人载获车驰驷送陵庙还宫遣使者赍束帛以赐武官武官肄兵习战阵之仪斩牲之礼名曰䝙刘兵官皆肄孙吴兵法六十四阵名曰乘之立春遣使者赍束帛以赐文官䝙刘之礼祠先虞执事告先虞已	，始揚威武，斬牲於郊東門，以薦陵廟。其儀：乘輿御戎路，白馬朱鬣，躬執弩射牲。牲以鹿麛。太宰令、謁者各一人，載獲車馳駟送陵廟。還宮，遣使者齎束帛以賜武官。武官肄兵，習戰陣之儀、斬牲之禮，名曰貙劉。兵、官皆肄孫、吳兵法六十四陣，名曰乘之。立春，遣使者齎束帛以賜文官。貙劉之禮：祠先虞，執事告先虞已，烹鮮時，有司乃逡巡射牲。獲
MAIN	100	EXACT_25	李松所破进攻京师仓将军韩臣至长门十月戊申汉兵自宣平	而北入太微，是大兵將入天子廷也。是時莽遣二公之兵至昆陽，已爲光武所破。莽又拜九人爲將軍，皆以虎爲號。九虎將軍至華陰，皆爲漢將鄧曅、李松所破。進攻京師，倉將軍韓臣至長門。十月戊申，漢兵自宣平城門入。二日己酉，城中少年朱弟、張魚等數千人起兵攻莽，燒作室門，斧敬法闥。商人杜吳殺莽漸臺之上，校尉公賔就斬莽首。大兵蹈藉宮廷之中。
MAIN	105	EXACT_80	天黄饥而不损兹谓泰厥水水杀人辟遏有德兹谓狂厥水水流杀人已水则地生虫归狱不解兹谓追非厥水寒杀人追诛不解兹谓不理厥水五谷不收大败不解兹谓皆阴厥水流入国邑陨霜杀谷是时	易傳曰：「顓事有知，誅罰絕理，厥災水。其水也，而殺人，隕霜，大風，天黃。飢而不損，茲謂泰，厥水水殺人。辟遏有德，茲謂狂，厥水水流殺人，已水則地生蟲。歸獄不解，茲謂追非，厥水寒殺人。追誅不解，茲謂不理，厥水五穀不收。大敗不解，茲謂皆陰，厥水流入國邑，隕霜殺穀。」是時和帝幼，竇太后攝政，其兄竇憲幹事，及憲諸弟皆貴顯，並作威
MAIN	110	EXACT_40	阳侯国有江亭故国嬴姓富波侯国永元中复宜禄永元中复朗陵侯国弋阳侯国有黄亭故黄国嬴姓	項 西華 細陽 安城，侯國。有武城亭。 吳房，有棠谿亭。 鮦陽，侯國。 慎陽 慎 新蔡，有大呂亭。 安陽，侯國。有江亭，故國，嬴姓。 富波，侯國，永元中復。 宜祿，永元中復。 朗陵，侯國。 弋陽，侯國。有黃亭，故黃國，嬴姓。 召陵有陘亭。有安陵鄉。 征羌，侯國。有安陵亭。 思善，侯國。 宋，公國，周名郪丘，漢改爲新郪，
MAIN	115	EXACT_80	门苍龙司马主东门玄武司马主玄武门北屯司马主北门北宫朱爵司马主南掖门东明司马主东门朔平司马主北门凡七门凡居宫中者皆有口籍于门之所属宫名两字为铁印文符案省符乃内之若	宮掖門，每門司馬一人，比千石。本注曰：南宮南屯司馬，主平城門；宮門蒼龍司馬，主東門；玄武司馬，主玄武門；北屯司馬，主北門；北宮朱爵司馬，主南掖門；東明司馬，主東門；朔平司馬，主北門：凡七門。凡居宮中者，皆有口籍於門之所屬。宮名兩字爲鐵印文符，案省符乃內之。若外人以事當入，本宮長史爲封棨傳；其有官位，出入令御者言其官。
MAIN	120	EXACT_120	也韨所以执事礼之共也故礼有其度威仪之制三代同之五霸迭兴战兵不息佩非战器韨非兵旗于是解去韨佩留其系璲以为章表故诗曰鞙鞙佩璲此之谓也韨佩既废秦乃以采组连结于璲光明章表转相结受故谓之绶汉承秦制用而弗改故加之以双印佩刀之饰至孝明皇帝乃为大佩冲牙双瑀	德，服之衷也。韍，所以執事，禮之共也。故禮有其度，威儀之制，三代同之。五霸迭興，戰兵不息，佩非戰器，韍非兵旗，於是解去韍佩，留其係璲，以爲章表。故詩曰「鞙鞙佩璲」，此之謂也。韍佩旣廢，秦乃以采組連結於璲，光明章表，轉相結受，故謂之綬。漢承秦制，用而弗改，故加之以雙印佩刀之飾。至孝明皇帝，乃爲大佩，衝牙雙瑀璜，皆以白玉。
NOTE	1	EXACT_100	玺天子行玺天子之玺天子信玺皆以武都紫泥封之玉玺谱曰传国玺是秦始皇初定天下所刻其玉出蓝田山丞相李斯所书其文曰受命于天既寿永昌高祖至霸上秦王子婴献之至王莽篡位就元后求玺不与以威逼之乃出玺投地玺上螭一角缺及	、『皇帝之璽』、『皇帝信璽』、『天子行璽』、『天子之璽』、『天子信璽』，皆以武都紫泥封之。」玉璽譜曰：「傳國璽是秦始皇初定天下所刻，其玉出藍田山，丞相李斯所書，其文曰『受命于天，旣壽永昌』。高祖至霸上，秦王子嬰獻之。至王莽篡位，就元后求璽，不與，以威逼之，乃出璽投地。璽上螭一角缺。及莽敗，李松持璽詣
NOTE	30	EXACT_80	曰三公者何司空司徒司马也司马主天司空主地司徒主人故阴阳不调星辰失度责之司马山陵崩绝川谷不流责之司空五谷不殖草木不茂责之司徒甲乙东方主春生殖五谷之时也而白虹以甲乙	譴，責也。韓詩外傳曰：「三公者何？司空、司徒、司馬也。司馬主天，司空主地，司徒主人。故陰陽不調，星辰失度，責之司馬；山陵崩絕，川谷不流，責之司空；五穀不殖，草木不茂，責之司徒。」甲乙東方主春，生殖五穀之時也。而白虹以甲乙日見，明責在司徒也。
NOTE	91	EXACT_120	数五十四林钟长六寸六九五十四也三分征益一生商商数七十二太蔟长八寸八九七十二也三分商去一生羽羽数四十八南吕长五寸三分寸之一五九四十五又三分寸之一为四十八也三分羽益一生角角数六十四姑洗长七寸九分寸之一七九六十三又九分寸之一为六十四也三分角去一生	去一生徵，徵數五十四，林鍾長六寸，六九五十四也。三分徵益一生商，商數七十二，太蔟長八寸，八九七十二也。三分商去一生羽，羽數四十八，南呂長五寸三分寸之一，五九四十五又三分寸之一，爲四十八也。三分羽益一生角，角數六十四，姑洗長七寸九分寸之一，七九六十三又九分寸之一，爲六十四也。三分角去一生變宮，三分變宮
NOTE	120	EXACT_80	耗蝉居高饮絜口在掖下貂内劲捍而外温润此因物生义也徐广曰赵武灵王胡服有此秦即赵而用之说者蝉取其清高饮露而不食貂紫蔚柔润而毛采不彰灼故于义亦取胡广又曰意谓北方寒凉本	應劭漢官曰：「說者以金取堅剛，百鍊不耗。蟬居高飲絜，口在掖下。貂內勁捍而外溫潤。」此因物生義也。徐廣曰：「趙武靈王胡服有此，秦即趙而用之。」說者蟬取其清高，飲露而不食，貂紫蔚柔潤，而毛采不彰灼，故於義亦取。胡廣又曰：「意謂北方寒涼，本以貂皮暖頟，附施於冠，因遂變成首飾。」
